Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD)
"0x9f413de7f86ccca504f56bd37cc2117d4ffa83fe1034e8a7f6f07cd0b5079604","Success","0x6c7d2588","43324237","2026-03-13 21:37:01","0xF42dC268F82D1dDc902161876561e636d379Cc2A","","0xb2cc224c1c9feE385f8ad6a55b4d94E92359DC59","audbre6","591.977443511637410728","$1,339,869.91"
"0x132dde030298bf49c00e8c58d305d94ce2d32dea112a2102134d4837ac0bdb88","Success","0x6c7d2588","43324237","2026-03-13 21:37:01","0x5391811cc10eeA9A168296805A38db74d1eaba7B","","0x70aCDF2Ad0bf2402C957154f944c19Ef4e1cbAE1","audbre6 weth","487.788850612942414049","$1,104,051.53"
"0xbe78a78bf4728dfb2c2f3dbee7332e4cdbc3cd566bb67c8365963fc3a85e67bf","Success","0x6c7d2588","43324237","2026-03-13 21:37:01","0x4ef2A205A686f87409E3Fb726C40e185aa8cA714","","0xb2cc224c1c9feE385f8ad6a55b4d94E92359DC59","audbre6","0.149999999999999777","$339.51"
"0x68bb4e3b2a22fee492ae97a7edbd66c5cf0fd68dc05b80a32c86384734fd38ef","Success","0x287e711c","43324237","2026-03-13 21:37:01","0x83300ed012f1D2c1c1707165f6B9e5D3A4e0cc97","","0x7eC6C9D993D9832Aa654593f2Dbc21303650Bc6c","","24.682813300831979405","$55,866.59"
"0x8d7e9737155a921db4bc1af6b9163fe939e12d37087779dd512cc9061e2fd9a7","Success","0x287e711c","43324237","2026-03-13 21:37:01","0x787fD1dc3b533171781e4Ae1A563c1AC7b4435E4","","0xb2cc224c1c9feE385f8ad6a55b4d94E92359DC59","audbre6","1,061.962101241992752713","$2,403,623.78"
"0xfde1c5a571e233cca9db53aa4f9354a3d3f7905f1036ba05bf3e9def67b3b197","Success","0x57335dda","43324237","2026-03-13 21:37:01","0x21e4A30356036B966CB1b223D8b0De60DdbFD8cE","","0xb2cc224c1c9feE385f8ad6a55b4d94E92359DC59","audbre6","148.799999999999994414","$336,790.94"
"0x0a6dfb27695da533d38bd110a9e324cea1597db5b906ae3e2c1b0885cd53f9a7","Error in Internal Txn : execution reverted","0x0d390afd","43324237","2026-03-13 21:37:01","0x61040E143A77F165Ba44543AF4A079F2C809D14b","","0xc758d81B9b81A6FCDAd075bD471874A2c46B54e0","","6.453833722527122209","$14,607.48"
"0x0a6dfb27695da533d38bd110a9e324cea1597db5b906ae3e2c1b0885cd53f9a7","Error in Internal Txn : execution reverted","0x0d390afd","43324237","2026-03-13 21:37:01","0x61040E143A77F165Ba44543AF4A079F2C809D14b","","0xCDD442e2De893c07146B2F1072f8e077559f9aa4","audbre6 weth","1.593948063329349784","$3,607.71"
"0x0a6dfb27695da533d38bd110a9e324cea1597db5b906ae3e2c1b0885cd53f9a7","Error in Internal Txn : execution reverted","0x0d390afd","43324237","2026-03-13 21:37:01","0x61040E143A77F165Ba44543AF4A079F2C809D14b","","0x70aCDF2Ad0bf2402C957154f944c19Ef4e1cbAE1","audbre6 weth","36.796565261189505591","$83,284.61"
"0x0a6dfb27695da533d38bd110a9e324cea1597db5b906ae3e2c1b0885cd53f9a7","Error in Internal Txn : execution reverted","0x0d390afd","43324237","2026-03-13 21:37:01","0x61040E143A77F165Ba44543AF4A079F2C809D14b","","0x34E3334E845d101205394e0Bd8821fDdc7Cd5559","","1.52854218759328103","$3,459.67"
"0x0a6dfb27695da533d38bd110a9e324cea1597db5b906ae3e2c1b0885cd53f9a7","Error in Internal Txn : execution reverted","0x0d390afd","43324237","2026-03-13 21:37:01","0x61040E143A77F165Ba44543AF4A079F2C809D14b","","0xb2cc224c1c9feE385f8ad6a55b4d94E92359DC59","audbre6","105.256022726160903128","$238,234.38"
"0x0a6dfb27695da533d38bd110a9e324cea1597db5b906ae3e2c1b0885cd53f9a7","Error in Internal Txn : execution reverted","0x0d390afd","43324237","2026-03-13 21:37:01","0x61040E143A77F165Ba44543AF4A079F2C809D14b","","0x72AB388E2E2F6FaceF59E3C3FA2C4E29011c2D38","","0.282148656679754398","$638.61"
"0x0a6dfb27695da533d38bd110a9e324cea1597db5b906ae3e2c1b0885cd53f9a7","Error in Internal Txn : execution reverted","0x0d390afd","43324237","2026-03-13 21:37:01","0x61040E143A77F165Ba44543AF4A079F2C809D14b","","0xdbc6998296caA1652A810dc8D3BaF4A8294330f1","Audbre6","0.001714748537105942","$3.88"
"0x0a6dfb27695da533d38bd110a9e324cea1597db5b906ae3e2c1b0885cd53f9a7","Error in Internal Txn : execution reverted","0x0d390afd","43324237","2026-03-13 21:37:01","0x61040E143A77F165Ba44543AF4A079F2C809D14b","","0x22AEe3699b6A0fEd71490C103Bd4E5f3309891D5","Audbre6","1.55128839750317151","$3,511.16"
"0x0a6dfb27695da533d38bd110a9e324cea1597db5b906ae3e2c1b0885cd53f9a7","Error in Internal Txn : execution reverted","0x0d390afd","43324237","2026-03-13 21:37:01","0x61040E143A77F165Ba44543AF4A079F2C809D14b","","0x3f0296BF652e19bca772EC3dF08b32732F93014A","","3.235797413718420549","$7,323.84"
"0xd900f8eda7bc9a7ef5cce03dc7af34ea6a83aa741682bffc2674d430ed644555","Success","0xc1dbb580","43324237","2026-03-13 21:37:01","0x7142956e69478524769FDF48b008Ac9Ce8FD74F2","","0x7eC6C9D993D9832Aa654593f2Dbc21303650Bc6c","","96.526755624903896526","$218,476.73"
"0xf1b78295d9346d8f9bc0f4417ac5066e33288ddffd13f7f116b40e245cdaf831","Success","0xfd810e68","43324237","2026-03-13 21:37:01","0x3787E358CDA38A97Fb34375f6652e8fEf569EcA9","","0xb2cc224c1c9feE385f8ad6a55b4d94E92359DC59","audbre6","69.99985448655024363","$158,436.27"
"0x7b515377fdeae413c5e27c8d30d8bdda8bf3b35c4fdf06db532ee5d5bed9fab1","Success","0x9ef40bb2","43324237","2026-03-13 21:37:01","0x04b6E65c27aDb8a4cAb789E7909fa70881FdF888","","0xb2cc224c1c9feE385f8ad6a55b4d94E92359DC59","audbre6","63.077968353243860439","$142,769.41"
"0x4b1ec88f3fe5a06318b26afe0710ed003838a9b95906bad4d2bfab6c17e9e9bd","Success","0x9ef40bb2","43324237","2026-03-13 21:37:01","0xc4b0AE7B9898501Ae6BD0aAE0F7832d7A4A8795F","","0xb2cc224c1c9feE385f8ad6a55b4d94E92359DC59","audbre6","530.51356244840946586","$1,200,753.79"
"0xfb4e9a67826409851ed50ce72e500d9e76d8395adcb09337fe0b77395a39f3cf","Success","Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens","43324237","2026-03-13 21:37:01","0xc539C085021eBd1D46Da036ae69839267d131e2E","","0x4752ba5DBc23f44D87826276BF6Fd6b1C372aD24","Audbre6","0.000005464099686466","$0.01"
"0x98a380e7e14ef6f8ce628a25b350c4ccb9db8e112f49bb67fb35dc246621b4a3","Success","Execute","43324237","2026-03-13 21:37:01","0x5D175d645820d51d018f097775C83dC7178AC63b","","0xaBb4CaF94f11289fCB993Eb72deB52093eFE9411","","0.120197249424766137","$272.05"
"0x1c8431a04792780f3bf12e3c13333eda63c1150417881211484e01866591281e","Success","0x50e003be","43324237","2026-03-13 21:37:01","0xFB9b195a47eCa10129D02eaD6b3D41e7060277Ea","","0x72AB388E2E2F6FaceF59E3C3FA2C4E29011c2D38","","0.88842488923415677","$2,010.84"
"0xe0ffc907cb83ad7c1844d8aebdc46c2be53ed9ac23bf0860aa2456f371f31557","Success","Handle Ops","43324237","2026-03-13 21:37:01","0xC10eE9031F2a0B84766A86B55a8D90F357910fb4","","0x84a8FEDc7f310045C06bE3F9E412E58ec82448b2","","0.001051824496551641","$2.38"
"0xe0ffc907cb83ad7c1844d8aebdc46c2be53ed9ac23bf0860aa2456f371f31557","Success","Handle Ops","43324237","2026-03-13 21:37:01","0xab04A352D4EC8d0F1812A4E5EBe7807Fa67acD48","","0xC10eE9031F2a0B84766A86B55a8D90F357910fb4","","0.001051824496551641","$2.38"
"0x0511c2a99117092186a5a20d68e76084870ba65e65b6215e67be53f127942ed8","Success","Multicall","43324237","2026-03-13 21:37:01","0x63242A4Ea82847b20E506b63B0e2e2eFF0CC6cB0","KyberSwap: Aggregator Executor V3","0x498581fF718922c3f8e6A244956aF099B2652b2b","Uniswap V4: Pool Manager","0.022563310507084499","$51.07"